단지명,지번주소,중심거리_m,POI수,lng,lat,pnu,필지지번,면적_m2,면적_평,도형,비고
위례센트럴자이아파트,경기 성남시 수정구 창곡동 504,128,1,127.14045378840484,37.47337711751279,4113110800105040000,경기도 성남시 수정구 창곡동 504,68176,20623,MultiPolygon,
위례보미리즌빌아파트,경기 성남시 수정구 창곡동 507,160,1,127.14130744252064,37.47164526027425,4113110800105070000,경기도 성남시 수정구 창곡동 507,9109,2755,MultiPolygon,
위례35단지아파트,경기 성남시 수정구 창곡동 510,187,1,127.1439415260338,37.47287286005461,4113110800105100000,경기도 성남시 수정구 창곡동 510,76394,23109,MultiPolygon,
위례중앙푸르지오1단지아파트,서울 송파구 장지동 897,204,1,127.14152939247208,37.4748435783521,1171010900108970000,서울특별시 송파구 장지동 897,9493,2872,MultiPolygon,
송파꿈에그린위례24단지아파트,서울 송파구 장지동 901,228,1,127.14057179342603,37.4748158891578,1171010900109010000,서울특별시 송파구 장지동 901,82396,24925,MultiPolygon,
위례중앙푸르지오2단지아파트,서울 송파구 장지동 896,233,1,127.14280712651492,37.47497539036918,1171010900108960000,서울특별시 송파구 장지동 896,8625,2609,MultiPolygon,
위례아트리버푸르지오1단지아파트,경기 성남시 수정구 창곡동 530,254,2,127.14144585736665,37.47040890880427,4113110800105300000,경기도 성남시 수정구 창곡동 530,9652,2920,MultiPolygon,
위례아트리버푸르지오2단지아파트,경기 성남시 수정구 창곡동 529,263,1,127.14235358468623,37.47069524127733,4113110800105290000,경기도 성남시 수정구 창곡동 529,7026,2125,MultiPolygon,
위례신도시신안인스빌아스트로아파트,경기 하남시 학암동 663,267,1,127.1439394623976,37.474744259052045,4145011600106630000,경기도 하남시 학암동 663,42473,12848,MultiPolygon,
위례자이아파트,경기 성남시 수정구 창곡동 531,396,1,127.13839706026656,37.47072967481327,4113110800105310000,경기도 성남시 수정구 창곡동 531,42016,12710,MultiPolygon,
위례역푸르지오4단지아파트,경기 성남시 수정구 창곡동 565,570,1,127.14121112719648,37.46791969895193,4113110800105650000,경기도 성남시 수정구 창곡동 565,13854,4191,MultiPolygon,
위례심포니아아파트,서울 송파구 장지동 891,583,1,127.144704959987,37.4777481890926,1171010900108910000,서울특별시 송파구 장지동 891,2947,891,MultiPolygon,
위례센트로엘아파트,경기 하남시 학암동 662,612,1,127.14661642979796,37.477012411518274,4145011600106620000,경기도 하남시 학암동 662,41449,12538,MultiPolygon,
위례31단지아파트,경기 성남시 수정구 창곡동 500,622,1,127.13480932726247,37.473430544532754,4113110800105000000,경기도 성남시 수정구 창곡동 500,79716,24114,MultiPolygon,
성남위례LH36단지아파트,경기 성남시 수정구 창곡동 501,640,1,127.13469482312124,37.4719899606918,4113110800105010000,경기도 성남시 수정구 창곡동 501,13040,3945,MultiPolygon,
위례자이더시티아파트,경기 성남시 수정구 창곡동 512,649,1,127.149153332303,37.4735745896592,4113110800105120000,경기도 성남시 수정구 창곡동 512,33283,10068,MultiPolygon,
위례역푸르지오5단지아파트,경기 성남시 수정구 창곡동 564,706,1,127.14111840803196,37.4667034456678,4113110800105640000,경기도 성남시 수정구 창곡동 564,9818,2970,MultiPolygon,
송파더센트레아파트,서울 송파구 장지동 879,714,1,127.1400928993921,37.47929357128287,1171010900108790000,서울특별시 송파구 장지동 879,44179,13364,MultiPolygon,
위례포레샤인23단지아파트,서울 송파구 장지동 905,716,2,127.13510299157716,37.476719780774886,1171010900109050000,서울특별시 송파구 장지동 905,105578,31937,MultiPolygon,
플로리체위례아파트,경기 하남시 학암동 671,721,1,127.14984885515436,37.47427469490312,4145011600106710000,경기도 하남시 학암동 671,57172,17294,MultiPolygon,
위례역푸르지오6단지아파트,경기 성남시 수정구 창곡동 563,725,2,127.14249965373395,37.466355349498365,4113110800105630000,경기도 성남시 수정구 창곡동 563,17212,5207,MultiPolygon,
위례자이더파크아파트,경기 성남시 수정구 창곡동 514,736,1,127.149982633819,37.4716354684911,4113110800105140000,경기도 성남시 수정구 창곡동 514,52721,15948,MultiPolygon,
위례2차아이파크아파트,서울 송파구 장지동 884,765,1,127.14374327299969,37.47973788900149,1171010900108840000,서울특별시 송파구 장지동 884,24109,7293,MultiPolygon,
힐스테이트송파위례아파트,서울 송파구 장지동 883,776,1,127.14286748300664,37.47995699525704,1171010900108830000,서울특별시 송파구 장지동 883,23947,7244,MultiPolygon,
위례송파푸르지오아파트,서울 송파구 장지동 878,820,1,127.1397599524179,37.48020939023371,1171010900108780000,서울특별시 송파구 장지동 878,37156,11240,MultiPolygon,
힐스테이트위례아파트,경기 성남시 수정구 창곡동 572,825,3,127.14450096430134,37.465161625957876,4113110800105720000,경기도 성남시 수정구 창곡동 572,50901,15397,MultiPolygon,
위례래미안이편한세상아파트,경기 성남시 수정구 창곡동 567,862,1,127.14643930223764,37.466191504735875,4113110800105670000,경기도 성남시 수정구 창곡동 567,88975,26915,MultiPolygon,
위례롯데캐슬아파트,경기 하남시 학암동 672,892,3,127.15299054938225,37.47465029111993,4145011600106720000,경기도 하남시 학암동 672,81086,24529,MultiPolygon,
위례스타힐스아파트,서울 송파구 장지동 885,914,1,127.14590885484245,37.480577677425615,1171010900108850000,서울특별시 송파구 장지동 885,63915,19334,MultiPolygon,
위례호반써밋에비뉴아파트,경기 성남시 수정구 창곡동 515,920,2,127.1530527898736,37.47320243907744,4113110800105150000,경기도 성남시 수정구 창곡동 515,64695,19570,MultiPolygon,
위례센트럴푸르지오아파트,경기 성남시 수정구 창곡동 519,984,2,127.15319070703993,37.47126283906617,4113110800105190000,경기도 성남시 수정구 창곡동 519,39466,11938,MultiPolygon,
e편한세상테라스위례아파트,경기 성남시 수정구 창곡동 575,1050,2,127.15114833361507,37.466395057473804,4113110800105750000,경기도 성남시 수정구 창곡동 575,40414,12225,MultiPolygon,
송파파인타운11단지아파트,서울 송파구 장지동 854,1064,1,127.1331880147091,37.47969800022244,1171010900108540000,서울특별시 송파구 장지동 854,16696,5051,MultiPolygon,
위례포레샤인13단지아파트,서울 송파구 거여동 599,1101,1,127.13804444868671,37.48245671965098,1171011300105990000,서울특별시 송파구 거여동 599,23298,7048,MultiPolygon,
송파파인타운10단지아파트,서울 송파구 장지동 856,1119,2,127.13012676242084,37.47731058380536,1171010900108560000,서울특별시 송파구 장지동 856,21575,6526,MultiPolygon,
위례더힐55아파트,경기 성남시 수정구 창곡동 521,1122,2,127.15463825947074,37.469617060450744,4113110800105210000,경기도 성남시 수정구 창곡동 521,98548,29811,MultiPolygon,
위례지웰푸르지오 키즈스테이션,경기 하남시 학암동 654,1148,1,127.1492166202428,37.48152501101915,4145011600106540000,경기도 하남시 학암동 654,22859,6915,MultiPolygon,
복정역에피트아파트,경기 성남시 수정구 복정동 243,1154,1,127.131760487751,37.4664061048051,4113110700102430000,경기도 성남시 수정구 복정동 243,4119,1246,MultiPolygon,
송파파인타운6단지아파트,서울 송파구 장지동 847,1161,1,127.13266032552518,37.480504996511776,1171010900108470000,서울특별시 송파구 장지동 847,22744,6880,MultiPolygon,
위례그린파크푸르지오아파트,경기 하남시 학암동 673,1162,2,127.1548369942335,37.474440806804004,4145011600106730000,경기도 하남시 학암동 673,71386,21594,MultiPolygon,
송파파인타운13단지아파트,서울 송파구 장지동 857,1197,1,127.1291809029229,37.476894905667905,1171010900108570000,서울특별시 송파구 장지동 857,12100,3660,MultiPolygon,
송파레이크파크호반써밋2차아파트,서울 송파구 거여동 607,1243,1,127.14233170661012,37.484195083159605,1171011300106070000,서울특별시 송파구 거여동 607,46567,14086,MultiPolygon,
송파위례리슈빌아파트,서울 송파구 거여동 654,1264,1,127.147588890846,37.4834317864519,1171011300106540000,서울특별시 송파구 거여동 654,33017,9988,MultiPolygon,
위례포레스트사랑으로부영아파트,경기 성남시 수정구 창곡동 597,1274,1,127.14554032715924,37.46194525018125,4113110800105970000,경기도 성남시 수정구 창곡동 597,45306,13705,MultiPolygon,
송파레이크파크호반써밋1차아파트,서울 송파구 거여동 597,1306,1,127.140128979748,37.4846896664459,1171011300105970000,서울특별시 송파구 거여동 597,50150,15170,MultiPolygon,
송파파인타운9단지아파트,서울 송파구 장지동 843,1329,2,127.12779658784514,37.47791455110932,1171010900108430000,서울특별시 송파구 장지동 843,23445,7092,MultiPolygon,
송파파인타운5단지아파트,서울 송파구 장지동 845,1356,1,127.12937874038782,37.480168955208825,1171010900108450000,서울특별시 송파구 장지동 845,16902,5113,MultiPolygon,
송파파인타운8단지아파트,서울 송파구 장지동 842,1382,1,127.128285018141,37.47925292097956,1171010900108420000,서울특별시 송파구 장지동 842,20564,6221,MultiPolygon,
송파레이크힐아파트,서울 송파구 거여동 606,1431,1,127.14390071305202,37.485783461153694,1171011300106060000,서울특별시 송파구 거여동 606,20420,6177,MultiPolygon,
송파파인타운3단지아파트,서울 송파구 장지동 849,1436,1,127.132765558978,37.483749408927885,1171010900108490000,서울특별시 송파구 장지동 849,28853,8728,MultiPolygon,
송파구장지동청년주택아파트,서울 송파구 장지동 842-1,1445,1,127.127524287408,37.4793420433338,1171010900108420001,서울특별시 송파구 장지동 842-1,3913,1184,MultiPolygon,
남위례역아테라아파트,경기 성남시 수정구 복정동 153-3,1448,2,127.13658935596246,37.46041970952497,4113110700101490003,경기도 성남시 수정구 복정동 149-3,204,62,MultiPolygon,
송파파인타운4단지아파트,서울 송파구 장지동 837,1452,1,127.12939359442008,37.48157090808851,1171010900108370000,서울특별시 송파구 장지동 837,12190,3687,MultiPolygon,
송파파인타운2단지아파트,서울 송파구 장지동 835,1543,1,127.1311967107801,37.4840322759134,1171010900108350000,서울특별시 송파구 장지동 835,21169,6404,MultiPolygon,
포레나송파아파트,서울 송파구 거여동 651,1545,1,127.1487773385924,37.48578282697687,1171011300106510000,서울특별시 송파구 거여동 651,61475,18596,MultiPolygon,
남위례역수자인더퍼스트아파트,경기 성남시 수정구 복정동 756-1,1558,1,127.14441481779892,37.45915800066575,4113110700100280000,경기도 성남시 수정구 복정동 28,790,239,MultiPolygon,
남위례역수자인센트럴아파트,경기 성남시 수정구 복정동 109,1564,1,127.13964034158606,37.45906462743333,4113110700101090003,경기도 성남시 수정구 복정동 109-3,1652,500,MultiPolygon,
위례호반써밋아파트,경기 하남시 학암동 652,1576,2,127.15250374886324,37.484795072186955,4145011600106520000,경기도 하남시 학암동 652,42117,12740,MultiPolygon,
아름빌아파트,서울 송파구 문정동 81-1,1598,1,127.12807665158688,37.482366131289446,1171010800100810001,서울특별시 송파구 문정동 81-1,637,193,MultiPolygon,
엘리프남위례역에듀포레아파트,경기 성남시 수정구 복정동 86,1609,1,127.142413085511,37.4585585540697,4113110700100860000,경기도 성남시 수정구 복정동 86,1359,411,MultiPolygon,
동부주택브리앙뜨아파트,서울 송파구 문정동 74,1614,1,127.125984843964,37.4802609216168,1171010800100740000,서울특별시 송파구 문정동 74,775,235,MultiPolygon,
트윈팰리스아파트,서울 송파구 문정동 112,1638,1,127.13222728449152,37.48562591088029,1171010800101120000,서울특별시 송파구 문정동 112,887,268,MultiPolygon,
송파파인타운1단지아파트,서울 송파구 장지동 833,1655,1,127.13481077850604,37.486824935391745,1171010900108330000,서울특별시 송파구 장지동 833,16697,5051,MultiPolygon,
문정그린아파트,서울 송파구 문정동 113-3,1656,1,127.133475731853,37.4863615313062,1171010800101130003,서울특별시 송파구 문정동 113-3,349,106,MultiPolygon,
건영아파트,서울 송파구 문정동 72-3,1710,1,127.12565563732927,37.48149024775221,1171010800100720003,서울특별시 송파구 문정동 72-3,21263,6432,MultiPolygon,
인택스빌아파트,서울 송파구 문정동 114,1732,1,127.13265787243012,37.48679133203419,1171010800101140000,서울특별시 송파구 문정동 114,1580,478,MultiPolygon,
힐스테이트센트럴위례아파트,경기 하남시 학암동 651,1736,1,127.15291366505193,37.485928014167406,4145011600106510000,경기도 하남시 학암동 651,60020,18156,MultiPolygon,
문정푸르지오3차아파트,서울 송파구 문정동 117,1740,1,127.13327355259652,37.48711860585526,1171010800101170000,서울특별시 송파구 문정동 117,4707,1424,MultiPolygon,
현대아파트,서울 송파구 문정동 104,1744,1,127.13031781907546,37.485770391671466,1171010800101040000,서울특별시 송파구 문정동 104,4628,1400,MultiPolygon,
송파파크하비오푸르지오아파트,서울 송파구 문정동 618,1750,2,127.12349047391862,37.47975313352302,1171010800106180000,서울특별시 송파구 문정동 618,61230,18522,MultiPolygon,
크로바아파트,서울 송파구 문정동 110-7,1751,1,127.13205622265882,37.48672352947502,1171010800101100007,서울특별시 송파구 문정동 110-7,833,252,MultiPolygon,
보광,서울 송파구 문정동 109-13,1775,1,127.13155874931428,37.48674210461779,1171010800101090013,서울특별시 송파구 문정동 109-13,191,58,MultiPolygon,
거여6단지아파트,서울 송파구 거여동 295,1776,1,127.146559829086,37.488551691013,1171011300102950000,서울특별시 송파구 거여동 295,13106,3965,MultiPolygon,
거여5단지아파트,서울 송파구 거여동 294,1791,1,127.1453166864251,37.48888840123866,1171011300102940000,서울특별시 송파구 거여동 294,14586,4412,MultiPolygon,
아이디움아파트,서울 송파구 문정동 72-2,1804,1,127.12528543734804,37.48255202866953,1171010800100720002,서울특별시 송파구 문정동 72-2,200,60,MultiPolygon,
거여4단지아파트,서울 송파구 거여동 293,1807,1,127.14381453489769,37.48919387869777,1171011300102930000,서울특별시 송파구 거여동 293,15688,4746,MultiPolygon,
그랜빌캐슬아파트,서울 송파구 문정동 70-16,1838,1,127.1251299783154,37.48289277451383,1171010800100700016,서울특별시 송파구 문정동 70-16,335,101,MultiPolygon,
선경논골아파트,경기 성남시 수정구 단대동 6,1856,1,127.15729065862952,37.46170944687855,4113110400100060000,경기도 성남시 수정구 단대동 6,8558,2589,MultiPolygon,
드림팰리스아파트,서울 송파구 문정동 115-9,1872,1,127.13146433294968,37.48770808970914,1171010800101150009,서울특별시 송파구 문정동 115-9,331,100,MultiPolygon,
위례포레샤인18단지아파트,서울 송파구 거여동 648,1885,1,127.1521543793235,37.48786345710512,1171011300106480000,서울특별시 송파구 거여동 648,32454,9817,MultiPolygon,
낙원아파트,경기 성남시 수정구 단대동 3,1887,1,127.15842224342263,37.46230981068389,4113110400100030000,경기도 성남시 수정구 단대동 3,1782,539,MultiPolygon,
거여2단지효성동아아파트,서울 송파구 거여동 291,1893,1,127.14568135518304,37.48976643395745,1171011300102910000,서울특별시 송파구 거여동 291,27940,8452,MultiPolygon,
위례숲우미린아파트,경기 하남시 학암동 646,1946,1,127.15685278422278,37.48584175960501,4145011600106460000,경기도 하남시 학암동 646,51255,15505,MultiPolygon,
위례중흥S-클래스아파트,경기 하남시 학암동 641,1954,1,127.15953446153064,37.483573937015976,4145011600106410000,경기도 하남시 학암동 641,37615,11379,MultiPolygon,
거여1단지아파트,서울 송파구 거여동 290,1958,1,127.14386238711612,37.49056154895822,1171011300102900000,서울특별시 송파구 거여동 290,23445,7092,MultiPolygon,
