단지,면적_m2,중심→역_m,경계→역_m,경계→역경계_m,지수,중심기준_지수,경계보정_점
위례중앙푸르지오,9493,199.4,147.1,39.0,97.9,96.2,1.7
래미안위례,31444,396.6,269.7,166.7,93.2,86.4,6.8
플로리체 위례,57172,674.8,522.8,483.7,78.5,68.7,9.8
위례송파푸르지오,37156,875.6,767.5,658.4,62.9,56.6,6.3
